name,squad,ageAvg,foreigners,marketValueAvg,totalMarketValue,rank,points,teamAverage,teamMatches,leagueName
US Sassuolo,59,23.8,15,€4.10m,€242.05m,11 ,43,-7,38,IT1
Torino FC,62,23.7,29,€3.86m,€239.23m,7 ,63,15,38,IT1
UC Sampdoria,59,23.5,30,€3.67m,€216.75m,9 ,53,9,38,IT1
Udinese Calcio,56,24.7,41,€3.59m,€201.20m,12 ,43,-14,38,IT1
Genoa CFC,69,23.8,35,€2.78m,€191.73m,17 ,38,-18,38,IT1
Cagliari Calcio,49,25.9,18,€3.17m,€155.38m,15 ,41,-18,38,IT1
Bologna FC 1909,48,25.0,28,€2.49m,€119.68m,10 ,44,-8,38,IT1
Empoli FC ,59,24.1,24,€1.79m,€105.60m,18 ,38,-19,38,IT1
SPAL,51,25.3,20,€1.91m,€97.40m,13 ,42,-12,38,IT1
Parma Calcio 1913,70,25.6,19,€1.37m,€95.75m,14 ,41,-20,38,IT1
Chievo Verona,68,24.7,32,€804k,€54.70m,20 ,17,-50,38,IT1
Frosinone Calcio,44,25.8,10,€1.24m,€54.53m,19 ,25,-40,38,IT1
Real Madrid,36,25.6,20,€11.91m,€428.60m,2 ,78,31,38,ES1
FC Barcelona,34,24.8,14,€12.51m,€425.40m,1 ,87,70,38,ES1
Valencia CF,35,26.1,10,€6.50m,€227.50m,6 ,62,14,38,ES1
Atlético de Madrid,29,25.7,15,€7.63m,€221.40m,4 ,67,23,38,ES1
Sevilla FC,35,25.3,20,€5.79m,€202.70m,3 ,70,15,38,ES1
Villarreal CF,31,26.4,14,€5.48m,€170.00m,5 ,65,7,38,ES1
Real Betis Balompié,33,26.6,13,€3.60m,€118.70m,18 ,42,-7,38,ES1
RCD Espanyol Barcelona,31,25.8,10,€3.07m,€95.30m,10 ,47,-3,38,ES1
Racing Santander,35,25.4,10,€2.44m,€85.50m,12 ,46,1,38,ES1
UD Almería,25,25.9,10,€3.20m,€80.00m,11 ,46,-16,38,ES1
Athletic Bilbao,32,25.8,1,€2.43m,€77.60m,13 ,44,-15,38,ES1
Deportivo de La Coruña,34,26.0,10,€2.27m,€77.30m,7 ,58,1,38,ES1
Getafe CF,28,26.7,13,€2.66m,€74.50m,17 ,42,-6,38,ES1
RCD Mallorca,27,25.9,10,€2.55m,€68.90m,9 ,51,-7,38,ES1
CA Osasuna,31,26.4,10,€2.16m,€67.10m,15 ,43,-6,38,ES1
Málaga CF,27,27.6,8,€2.00m,€54.00m,8 ,55,-4,38,ES1
Recreativo Huelva,31,26.0,9,€1.61m,€49.90m,20 ,33,-23,38,ES1
Real Valladolid CF,27,27.6,8,€1.81m,€48.80m,16 ,43,-12,38,ES1
CD Numancia,32,26.8,2,€1.19m,€38.10m,19 ,35,-31,38,ES1
Sporting Gijón,31,26.1,2,€1.17m,€36.30m,14 ,43,-32,38,ES1
Real Madrid,39,24.9,15,€9.54m,€372.20m,1 ,76,26,38,ES1
FC Barcelona,32,26.0,18,€11.45m,€366.50m,2 ,76,45,38,ES1
Valencia CF,33,26.0,9,€7.05m,€232.70m,4 ,66,15,38,ES1
Atlético de Madrid,34,24.5,13,€5.12m,€174.00m,7 ,60,7,38,ES1
Sevilla FC,30,26.1,14,€4.66m,€139.80m,3 ,71,29,38,ES1
Real Zaragoza,26,26.5,8,€4.66m,€121.25m,6 ,60,12,38,ES1
Villarreal CF,30,26.8,16,€3.64m,€109.05m,5 ,62,4,38,ES1
Deportivo de La Coruña,32,25.0,10,€3.09m,€98.85m,13 ,47,-13,38,ES1
Real Betis Balompié,34,26.6,12,€2.31m,€78.43m,16 ,40,-13,38,ES1
CA Osasuna,33,24.8,7,€2.16m,€71.35m,14 ,46,2,38,ES1
RCD Espanyol Barcelona,34,24.8,9,€1.83m,€62.15m,12 ,49,-7,38,ES1
RCD Mallorca,24,26.5,11,€2.30m,€55.30m,11 ,49,-6,38,ES1
Athletic Bilbao,30,25.8,1,€1.83m,€54.90m,17 ,40,-18,38,ES1
Celta de Vigo,32,26.1,16,€1.71m,€54.88m,18 ,39,-19,38,ES1
Levante UD,30,29.4,17,€1.79m,€53.75m,15 ,42,-16,38,ES1
Racing Santander,34,25.4,7,€1.45m,€49.30m,10 ,50,-6,38,ES1
Real Sociedad,32,26.1,10,€1.41m,€45.20m,19 ,35,-15,38,ES1
Recreativo Huelva,28,26.6,6,€1.50m,€41.90m,8 ,54,2,38,ES1
Getafe CF,25,27.5,7,€1.60m,€40.05m,9 ,52,6,38,ES1
Gimnàstic de Tarragona,34,28.8,10,€831k,€28.25m,20 ,28,-35,38,ES1
Juventus FC,48,25.6,20,€8.16m,€391.45m,1 ,102,57,38,IT1
FC Internazionale,63,24.3,36,€4.65m,€292.65m,5 ,60,23,38,IT1
SSC Napoli,36,26.8,25,€7.68m,€276.60m,3 ,78,38,38,IT1
AC Milan,47,25.3,22,€5.62m,€263.95m,8 ,57,8,38,IT1
ACF Fiorentina,56,25.3,34,€4.45m,€249.13m,4 ,65,21,38,IT1
AS Roma,59,23.9,30,€4.18m,€246.40m,2 ,85,47,38,IT1
SS Lazio,54,25.0,33,€3.02m,€162.95m,9 ,56,0,38,IT1
Udinese Calcio,63,23.7,41,€1.97m,€123.95m,13 ,44,-11,38,IT1
Genoa CFC,66,24.4,33,€1.55m,€102.10m,14 ,44,-9,38,IT1
Parma FC,48,25.2,22,€1.87m,€89.78m,6 ,58,12,38,IT1
US Sassuolo,56,25.0,12,€1.57m,€87.85m,17 ,34,-29,38,IT1
Cagliari Calcio,36,24.9,15,€2.39m,€86.20m,15 ,39,-19,38,IT1
UC Sampdoria,58,24.5,19,€1.44m,€83.48m,12 ,45,-14,38,IT1
Torino FC,43,25.4,20,€1.87m,€80.25m,7 ,57,10,38,IT1
Calcio Catania,54,24.3,28,€1.46m,€78.98m,18 ,32,-32,38,IT1
Atalanta BC,62,25.0,14,€1.19m,€73.93m,11 ,50,-8,38,IT1
AS Livorno,48,24.9,14,€1.48m,€71.18m,20 ,25,-38,38,IT1
Bologna FC 1909,64,24.7,26,€1.09m,€69.83m,19 ,29,-30,38,IT1
Chievo Verona,72,25.0,35,€959k,€69.08m,16 ,36,-20,38,IT1
Hellas Verona,54,25.5,22,€1.24m,€67.13m,10 ,54,-6,38,IT1
FC Barcelona,34,24.9,15,€9.63m,€327.50m,1 ,82,45,38,ES1
Real Madrid,36,25.0,13,€7.82m,€281.60m,2 ,70,30,38,ES1
Valencia CF,32,27.0,14,€6.62m,€211.75m,3 ,69,25,38,ES1
Atlético de Madrid,31,23.8,8,€4.33m,€134.15m,10 ,52,8,38,ES1
Deportivo de La Coruña,33,27.3,8,€4.05m,€133.65m,8 ,55,2,38,ES1
Sevilla FC,34,25.5,10,€2.85m,€96.85m,5 ,68,15,38,ES1
Real Betis Balompié,32,25.8,8,€2.69m,€85.95m,14 ,42,-17,38,ES1
Villarreal CF,32,25.4,13,€2.56m,€82.00m,7 ,57,11,38,ES1
Real Zaragoza,25,27.2,7,€2.66m,€66.55m,11 ,46,-5,38,ES1
RCD Espanyol Barcelona,31,25.1,9,€1.90m,€58.98m,15 ,41,-20,38,ES1
Real Sociedad,31,25.4,7,€1.74m,€53.83m,16 ,40,-17,38,ES1
Celta de Vigo,27,26.3,13,€1.79m,€48.30m,6 ,64,12,38,ES1
Athletic Bilbao,41,24.7,1,€1.15m,€47.23m,12 ,45,-6,38,ES1
RCD Mallorca,31,25.5,15,€1.36m,€42.15m,13 ,43,-14,38,ES1
CA Osasuna,25,26.0,7,€1.63m,€40.70m,4 ,68,6,38,ES1
Getafe CF,26,27.0,6,€1.40m,€36.38m,9 ,54,5,38,ES1
Deportivo Alavés,31,27.6,17,€1.12m,€34.83m,18 ,39,-19,38,ES1
Racing Santander,36,24.8,9,€917k,€33.00m,17 ,40,-13,38,ES1
Málaga CF,33,25.5,9,€849k,€28.03m,20 ,24,-32,38,ES1
Cádiz CF,28,28.3,13,€791k,€22.15m,19 ,36,-16,38,ES1
Juventus FC,33,26.6,17,€19.79m,€653.15m,1 ,95,62,38,IT1
SSC Napoli,40,25.2,24,€12.61m,€504.25m,2 ,91,48,38,IT1
Inter Milan,34,25.9,22,€14.33m,€487.28m,4 ,72,36,38,IT1
AS Roma,47,23.7,26,€9.98m,€469.10m,3 ,77,33,38,IT1
SS Lazio,44,24.8,28,€9.29m,€408.78m,5 ,72,40,38,IT1
AC Milan,42,24.5,17,€9.69m,€407.05m,6 ,64,14,38,IT1
ACF Fiorentina,41,23.8,26,€5.79m,€237.33m,8 ,57,8,38,IT1
Atalanta BC,37,23.6,17,€5.62m,€207.95m,7 ,60,18,38,IT1
UC Sampdoria,39,24.6,25,€4.88m,€190.45m,10 ,54,-4,38,IT1
Torino FC,51,23.8,24,€3.44m,€175.53m,9 ,54,8,38,IT1
Genoa CFC,44,26.0,25,€3.07m,€135.13m,12 ,41,-10,38,IT1
US Sassuolo,39,25.0,7,€3.25m,€126.78m,11 ,43,-30,38,IT1
Udinese Calcio,46,24.0,35,€2.35m,€108.03m,14 ,40,-15,38,IT1
Bologna FC 1909,41,25.3,24,€2.53m,€103.55m,15 ,39,-12,38,IT1
Cagliari Calcio,41,25.4,13,€2.40m,€98.58m,16 ,39,-28,38,IT1
SPAL 2013,42,25.4,13,€1.51m,€63.55m,17 ,38,-20,38,IT1
Benevento Calcio,48,25.1,21,€1.20m,€57.83m,20 ,21,-51,38,IT1
Hellas Verona,41,25.5,18,€1.38m,€56.50m,19 ,25,-48,38,IT1
Chievo Verona,36,27.4,16,€1.53m,€55.23m,13 ,40,-23,38,IT1
FC Crotone,40,24.1,19,€1.20m,€47.88m,18 ,35,-26,38,IT1
Real Madrid,34,25.5,10,€8.93m,€303.70m,2 ,80,39,38,ES1
FC Barcelona,35,24.4,15,€7.80m,€273.03m,1 ,84,44,38,ES1
Valencia CF,32,26.1,15,€6.12m,€195.90m,7 ,58,15,38,ES1
Deportivo de La Coruña,29,27.7,8,€4.98m,€144.45m,8 ,51,-4,38,ES1
Atlético de Madrid,36,25.8,11,€3.49m,€125.65m,11 ,50,6,38,ES1
Real Betis Balompié,32,26.0,8,€2.66m,€85.15m,4 ,62,12,38,ES1
Sevilla FC,31,25.5,6,€2.28m,€70.55m,6 ,60,3,38,ES1
Villarreal CF,36,24.6,10,€1.84m,€66.25m,3 ,65,32,38,ES1
Real Sociedad,32,25.1,7,€1.67m,€53.55m,14 ,47,-9,38,ES1
Athletic Bilbao,32,25.3,0,€1.66m,€53.05m,9 ,51,5,38,ES1
Real Zaragoza,28,25.8,7,€1.83m,€51.13m,12 ,50,-5,38,ES1
