name,squad,ageAvg,foreigners,marketValueAvg,totalMarketValue,rank,points,teamAverage,teamMatches,leagueName
UC Sampdoria,39,25.4,5,€1.58m,€61.50m,12 ,41,-4,38,IT1
Parma FC,39,24.5,8,€1.46m,€57.05m,7 ,45,-14,38,IT1
AS Livorno,35,26.5,9,€1.61m,€56.38m,6 ,49,-7,38,IT1
US Lecce,42,23.5,13,€1.24m,€52.15m,18 ,29,-27,38,IT1
Chievo Verona,34,25.8,5,€1.46m,€49.55m,4 ,54,5,38,IT1
Reggina Calcio,42,24.6,8,€1.04m,€43.65m,13 ,41,-26,38,IT1
FC Messina Peloro,41,25.8,12,€975k,€39.98m,17 ,31,-26,38,IT1
Empoli FC ,30,26.4,3,€1.23m,€37.00m,8 ,45,-14,38,IT1
Cagliari Calcio,31,25.0,5,€1.15m,€35.65m,14 ,39,-13,38,IT1
AC Siena,33,27.5,6,€1.06m,€34.98m,15 ,39,-18,38,IT1
Ascoli Calcio 1898,48,25.3,6,€511k,€24.55m,10 ,43,-10,38,IT1
Treviso FBC 1993,50,25.0,13,€471k,€23.53m,19 ,21,-32,38,IT1
Juventus FC,38,25.5,21,€11.58m,€440.00m,1 ,91,55,38,IT1
AS Roma,48,24.7,33,€6.94m,€332.90m,3 ,80,42,38,IT1
SSC Napoli,34,25.9,22,€9.47m,€321.93m,2 ,82,48,38,IT1
Inter Milan,42,25.2,30,€7.01m,€294.28m,4 ,67,12,38,IT1
AC Milan,42,25.5,16,€5.09m,€213.83m,7 ,57,6,38,IT1
ACF Fiorentina,39,26.1,29,€4.89m,€190.53m,5 ,64,18,38,IT1
SS Lazio,38,25.7,26,€4.61m,€175.30m,8 ,54,0,38,IT1
UC Sampdoria,43,26.0,22,€2.94m,€126.53m,15 ,40,-13,38,IT1
Genoa CFC,47,24.2,27,€2.50m,€117.55m,10 ,46,-3,38,IT1
US Sassuolo,39,24.7,5,€2.49m,€97.00m,6 ,61,9,38,IT1
Udinese Calcio,43,26.3,31,€2.16m,€93.00m,17 ,39,-25,38,IT1
Torino FC,39,25.7,17,€2.30m,€89.83m,12 ,45,-3,38,IT1
Atalanta BC,44,26.8,15,€1.78m,€78.45m,13 ,45,-6,38,IT1
Bologna FC 1909,42,25.7,17,€1.79m,€75.23m,14 ,42,-12,38,IT1
Empoli FC ,38,24.1,16,€1.96m,€74.60m,11 ,46,-9,38,IT1
US Palermo,40,24.5,21,€1.72m,€68.68m,16 ,39,-27,38,IT1
Carpi FC 1909,41,25.9,18,€1.27m,€52.05m,18 ,38,-20,38,IT1
Chievo Verona,40,27.5,17,€1.24m,€49.78m,9 ,50,-2,38,IT1
Hellas Verona,42,25.9,20,€1.14m,€47.73m,20 ,28,-29,38,IT1
Frosinone Calcio,35,26.2,10,€1.09m,€38.30m,19 ,31,-41,38,IT1
Juventus FC,39,25.6,14,€7.82m,€304.90m,1 ,86,40,38,IT1
AC Milan,37,26.7,17,€7.40m,€273.70m,2 ,79,35,38,IT1
FC Internazionale,50,24.3,25,€4.81m,€240.63m,3 ,72,28,38,IT1
AS Roma,40,23.1,10,€4.69m,€187.60m,8 ,45,-3,38,IT1
ACF Fiorentina,48,25.0,13,€2.33m,€111.83m,16 ,42,-8,38,IT1
Parma FC,44,23.3,8,€2.50m,€110.05m,18 ,42,-17,38,IT1
Udinese Calcio,34,25.0,17,€2.47m,€83.95m,4 ,62,16,38,IT1
US Palermo,29,25.1,5,€2.72m,€78.75m,6 ,53,4,38,IT1
SS Lazio,45,25.8,12,€1.71m,€77.05m,13 ,44,-5,38,IT1
AC Siena,40,27.1,9,€1.37m,€54.90m,14 ,43,-11,38,IT1
UC Sampdoria,37,25.2,3,€1.38m,€51.00m,5 ,61,13,38,IT1
Chievo Verona,42,25.3,7,€1.10m,€46.28m,15 ,43,-17,38,IT1
Brescia Calcio,32,24.6,11,€1.41m,€45.25m,19 ,41,-17,38,IT1
US Lecce,33,23.3,13,€1.36m,€44.90m,11 ,44,-7,38,IT1
Atalanta BC,40,25.0,6,€1.04m,€41.70m,20 ,35,-11,38,IT1
FC Messina Peloro,45,24.6,10,€726k,€32.65m,7 ,48,-8,38,IT1
Bologna FC 1909,40,25.8,6,€748k,€29.94m,17 ,42,-3,38,IT1
Reggina Calcio,35,23.9,8,€837k,€29.30m,10 ,44,-9,38,IT1
AS Livorno,37,26.2,8,€676k,€25.00m,9 ,45,-11,38,IT1
Cagliari Calcio,31,26.2,6,€771k,€23.90m,12 ,44,-9,38,IT1
Juventus FC,35,27.0,12,€9.40m,€329.00m,1 ,87,48,38,IT1
AS Roma,43,25.9,24,€6.44m,€276.78m,2 ,70,23,38,IT1
SSC Napoli,34,26.7,23,€7.71m,€262.18m,5 ,63,16,38,IT1
Inter Milan,44,24.5,32,€5.93m,€260.70m,8 ,55,11,38,IT1
AC Milan,47,25.2,19,€5.02m,€236.13m,10 ,52,6,38,IT1
ACF Fiorentina,49,25.9,30,€4.41m,€216.13m,4 ,64,15,38,IT1
SS Lazio,36,26.3,27,€4.65m,€167.55m,3 ,69,33,38,IT1
UC Sampdoria,41,25.6,20,€3.23m,€132.23m,7 ,56,6,38,IT1
Genoa CFC,48,25.1,21,€2.44m,€117.33m,6 ,59,15,38,IT1
Udinese Calcio,50,23.9,36,€2.14m,€107.18m,16 ,41,-13,38,IT1
US Palermo,40,24.9,22,€2.32m,€92.60m,11 ,49,-2,38,IT1
US Sassuolo,41,26.3,8,€2.22m,€91.03m,12 ,49,-8,38,IT1
Atalanta BC,42,26.9,16,€1.99m,€83.48m,17 ,37,-19,38,IT1
Torino FC,45,26.0,21,€1.84m,€82.58m,9 ,54,3,38,IT1
Cagliari Calcio,36,24.5,14,€2.08m,€74.70m,18 ,34,-20,38,IT1
Parma FC,55,25.1,24,€1.20m,€65.95m,20 ,19,-42,38,IT1
Chievo Verona,40,27.6,23,€1.55m,€62.05m,14 ,43,-13,38,IT1
Empoli FC ,40,23.8,13,€1.35m,€54.03m,15 ,42,-6,38,IT1
Hellas Verona,38,26.4,23,€1.10m,€41.80m,13 ,46,-16,38,IT1
AC Cesena,37,25.9,10,€923k,€34.15m,19 ,24,-37,38,IT1
FC Internazionale,47,24.9,31,€8.44m,€396.50m,1 ,82,41,38,IT1
Juventus FC,44,25.6,14,€6.21m,€273.10m,7 ,55,-1,38,IT1
AC Milan,41,26.8,16,€6.25m,€256.45m,3 ,70,21,38,IT1
AS Roma,45,25.3,20,€5.45m,€245.15m,2 ,80,27,38,IT1
ACF Fiorentina,46,24.0,22,€4.55m,€209.30m,11 ,47,1,38,IT1
SSC Napoli,34,26.7,12,€4.28m,€145.63m,6 ,59,7,38,IT1
SS Lazio,62,24.8,23,€2.28m,€141.10m,12 ,46,-4,38,IT1
Genoa CFC,47,24.2,17,€2.89m,€135.85m,9 ,51,-4,38,IT1
Udinese Calcio,49,23.5,30,€2.77m,€135.58m,15 ,44,-5,38,IT1
US Palermo,41,24.2,16,€2.93m,€119.95m,5 ,65,12,38,IT1
UC Sampdoria,37,25.1,6,€3.05m,€112.70m,4 ,67,8,38,IT1
Parma FC,51,24.6,16,€1.62m,€82.83m,8 ,52,-5,38,IT1
Cagliari Calcio,35,24.3,7,€2.05m,€71.80m,16 ,44,-2,38,IT1
AS Bari,43,26.5,14,€1.61m,€69.30m,10 ,50,0,38,IT1
Calcio Catania,36,25.6,15,€1.75m,€63.05m,13 ,45,-1,38,IT1
Atalanta BC,39,26.1,13,€1.59m,€62.05m,18 ,35,-16,38,IT1
Bologna FC 1909,38,27.5,9,€1.40m,€53.10m,17 ,42,-13,38,IT1
AS Livorno,40,25.6,10,€1.17m,€46.80m,20 ,29,-34,38,IT1
AC Siena,40,25.3,18,€1.15m,€45.83m,19 ,31,-27,38,IT1
Chievo Verona,39,26.7,13,€1.06m,€41.28m,14 ,44,-5,38,IT1
Juventus FC,40,26.3,17,€8.45m,€337.90m,1 ,87,47,38,IT1
FC Internazionale,55,24.3,33,€4.41m,€242.80m,9 ,54,-2,38,IT1
AC Milan,42,25.5,22,€5.68m,€238.53m,3 ,72,28,38,IT1
SSC Napoli,41,26.2,18,€5.79m,€237.25m,2 ,78,37,38,IT1
ACF Fiorentina,42,25.2,25,€5.09m,€213.65m,4 ,70,28,38,IT1
AS Roma,37,24.6,22,€4.69m,€173.40m,6 ,62,15,38,IT1
SS Lazio,55,24.9,29,€2.61m,€143.28m,7 ,61,9,38,IT1
Udinese Calcio,48,23.3,23,€2.52m,€121.00m,5 ,66,14,38,IT1
Genoa CFC,46,26.5,23,€2.14m,€98.50m,17 ,38,-14,38,IT1
UC Sampdoria,37,25.3,17,€2.32m,€85.93m,14 ,42,-8,38,IT1
Parma FC,42,25.6,18,€2.04m,€85.78m,10 ,49,-1,38,IT1
US Palermo,52,25.2,29,€1.56m,€80.95m,18 ,32,-20,38,IT1
Bologna FC 1909,49,24.5,18,€1.60m,€78.55m,13 ,44,-6,38,IT1
Calcio Catania,38,25.4,22,€2.01m,€76.48m,8 ,56,4,38,IT1
Cagliari Calcio,34,24.0,12,€2.25m,€76.38m,11 ,47,-12,38,IT1
Atalanta BC,43,27.7,12,€1.72m,€74.10m,15 ,40,-17,38,IT1
Torino FC,38,25.8,18,€1.62m,€61.60m,16 ,39,-9,38,IT1
Chievo Verona,46,26.8,26,€1.20m,€55.10m,12 ,45,-15,38,IT1
Delfino Pescara 1936,52,24.5,15,€919k,€47.80m,20 ,22,-57,38,IT1
AC Siena,48,27.3,17,€989k,€47.48m,19 ,30,-21,38,IT1
Paris Saint-Germain,35,25.0,19,€25.72m,€900.10m,1 ,93,79,38,FR1
AS Monaco,38,23.5,26,€13.94m,€529.80m,2 ,80,40,38,FR1
Olympique Lyon,34,23.1,18,€10.70m,€363.80m,3 ,78,44,38,FR1
Olympique Marseille,29,26.8,13,€8.17m,€236.80m,4 ,77,33,38,FR1
OGC Nice,39,23.6,16,€5.23m,€204.10m,8 ,54,1,38,FR1
FC Girondins Bordeaux,37,24.1,21,€4.20m,€155.45m,6 ,55,5,38,FR1
Stade Rennais FC,35,24.3,17,€3.75m,€131.25m,5 ,58,6,38,FR1
FC Toulouse,28,24.5,14,€3.94m,€110.45m,18 ,37,-16,38,FR1
AS Saint-Étienne,40,24.8,22,€2.67m,€106.88m,7 ,55,-3,38,FR1
FC Nantes,36,24.6,21,€2.94m,€105.70m,9 ,52,-5,38,FR1
LOSC Lille,32,22.0,18,€3.02m,€96.75m,17 ,38,-26,38,FR1
Montpellier HSC,30,25.4,14,€2.40m,€71.85m,10 ,51,3,38,FR1
Dijon FCO,35,25.6,16,€2.01m,€70.30m,11 ,48,-18,38,FR1
Amiens SC,34,27.3,19,€2.05m,€69.85m,13 ,45,-5,38,FR1
Angers SCO,33,26.1,18,€2.11m,€69.55m,14 ,41,-10,38,FR1
SM Caen,33,25.8,17,€1.82m,€60.10m,16 ,38,-25,38,FR1
EA Guingamp,30,26.7,13,€1.73m,€51.90m,12 ,47,-11,38,FR1
FC Metz,44,24.7,26,€1.16m,€51.20m,20 ,26,-42,38,FR1
RC Strasbourg Alsace,31,26.3,15,€1.47m,€45.60m,15 ,38,-23,38,FR1
ESTAC Troyes,30,26.0,16,€1.50m,€45.05m,19 ,33,-27,38,FR1
FC Internazionale,48,25.4,28,€6.31m,€303.05m,6 ,58,3,38,IT1
AC Milan,45,26.2,21,€6.08m,€273.53m,2 ,80,41,38,IT1
Juventus FC,34,27.8,12,€7.71m,€262.28m,1 ,84,48,38,IT1
SSC Napoli,29,28.2,15,€7.06m,€204.75m,5 ,61,20,38,IT1
AS Roma,39,25.5,18,€4.43m,€172.78m,7 ,56,6,38,IT1
Udinese Calcio,49,23.4,25,€2.86m,€140.13m,3 ,64,17,38,IT1
ACF Fiorentina,40,24.6,21,€3.27m,€130.83m,13 ,46,-6,38,IT1
US Palermo,46,24.5,25,€2.59m,€119.05m,16 ,43,-10,38,IT1
SS Lazio,52,25.3,22,€2.19m,€113.63m,4 ,62,9,38,IT1
Genoa CFC,39,25.7,21,€2.67m,€104.30m,17 ,42,-19,38,IT1
Parma FC,43,25.2,12,€1.92m,€82.35m,8 ,56,1,38,IT1
Cagliari Calcio,33,24.8,12,€2.17m,€71.65m,15 ,43,-9,38,IT1
Atalanta BC,36,27.4,5,€1.88m,€67.58m,12 ,46,-2,38,IT1
Bologna FC 1909,41,24.8,18,€1.56m,€63.90m,9 ,51,-2,38,IT1
Calcio Catania,39,26.5,21,€1.52m,€59.25m,11 ,48,-5,38,IT1
Chievo Verona,40,26.2,20,€1.12m,€44.80m,10 ,49,-10,38,IT1
AC Siena,37,26.9,10,€1.06m,€39.33m,14 ,44,0,38,IT1
AC Cesena,45,25.2,21,€867k,€39.03m,20 ,22,-36,38,IT1
US Lecce,41,25.8,17,€915k,€37.53m,18 ,36,-16,38,IT1
Novara Calcio 1908,38,26.8,13,€748k,€28.43m,19 ,32,-30,38,IT1
FC Internazionale,44,25.6,27,€7.89m,€346.95m,2 ,76,27,38,IT1
AC Milan,45,27.2,22,€6.40m,€288.08m,1 ,82,41,38,IT1
Juventus FC,51,25.5,15,€5.08m,€258.93m,7 ,58,10,38,IT1
ACF Fiorentina,42,24.4,22,€4.18m,€175.48m,9 ,51,5,38,IT1
AS Roma,43,26.2,22,€4.02m,€172.98m,6 ,63,7,38,IT1
SSC Napoli,31,27.8,10,€5.50m,€170.43m,3 ,70,20,38,IT1
Genoa CFC,45,24.8,22,€3.74m,€168.18m,10 ,51,-2,38,IT1
Udinese Calcio,40,24.1,23,€3.43m,€137.05m,4 ,66,22,38,IT1
UC Sampdoria,46,24.0,14,€2.72m,€125.05m,18 ,36,-16,38,IT1
US Palermo,45,23.7,16,€2.73m,€123.03m,8 ,56,-5,38,IT1
SS Lazio,44,26.6,22,€2.54m,€111.73m,5 ,66,16,38,IT1
Parma FC,43,25.2,14,€2.00m,€86.05m,12 ,46,-8,38,IT1
Cagliari Calcio,37,27.2,6,€2.30m,€85.03m,14 ,45,-7,38,IT1
AC Cesena,45,25.9,22,€1.43m,€64.23m,15 ,43,-12,38,IT1
Bologna FC 1909,38,24.4,14,€1.66m,€63.05m,16 ,42,-17,38,IT1
Calcio Catania,35,26.3,17,€1.73m,€60.68m,13 ,46,-12,38,IT1
AS Bari,46,25.2,15,€1.12m,€51.50m,20 ,24,-29,38,IT1
Chievo Verona,43,26.7,21,€1.14m,€48.95m,11 ,46,-2,38,IT1
Brescia Calcio,43,25.6,19,€885k,€38.05m,19 ,32,-18,38,IT1
US Lecce,37,25.1,15,€884k,€32.70m,17 ,41,-20,38,IT1
Paris Saint-Germain,41,25.7,27,€21.35m,€875.15m,1 ,86,54,38,FR1
Olympique Lyon,40,24.3,20,€9.94m,€397.70m,8 ,61,15,38,FR1
AS Monaco,41,23.3,22,€9.66m,€396.00m,3 ,69,25,38,FR1
LOSC Lille,41,24.0,28,€7.48m,€306.88m,10 ,55,0,38,FR1
Stade Rennais FC,36,22.9,11,€8.48m,€305.35m,4 ,66,42,38,FR1
Olympique Marseille,38,23.5,21,€7.49m,€284.70m,2 ,71,25,38,FR1
OGC Nice,34,23.8,20,€7.83m,€266.05m,5 ,66,16,38,FR1
RC Lens,35,24.8,17,€4.40m,€154.05m,7 ,62,14,38,FR1
Stade Reims,40,23.5,27,€3.74m,€149.40m,12 ,46,-1,38,FR1
Montpellier HSC,36,24.8,16,€4.02m,€144.60m,13 ,43,-12,38,FR1
RC Strasbourg Alsace,33,24.8,15,€3.64m,€120.05m,6 ,63,17,38,FR1
FC Girondins Bordeaux,54,24.0,33,€2.16m,€116.85m,20 ,31,-39,38,FR1
FC Nantes,31,25.6,13,€3.63m,€112.65m,9 ,55,7,38,FR1
AS Saint-Étienne,44,24.0,20,€2.40m,€105.65m,18 ,32,-35,38,FR1
Stade Brestois 29,30,25.5,9,€3.44m,€103.15m,11 ,48,-8,38,FR1
FC Metz,41,25.0,27,€2.22m,€91.05m,19 ,31,-34,38,FR1
Angers SCO,38,25.4,18,€2.36m,€89.50m,14 ,41,-11,38,FR1
ESTAC Troyes,50,24.6,25,€1.46m,€73.20m,15 ,38,-16,38,FR1
FC Lorient,35,25.4,13,€1.75m,€61.30m,16 ,36,-28,38,FR1
Clermont Foot 63,39,25.1,20,€1.41m,€55.10m,17 ,36,-31,38,FR1
Paris Saint-Germain,39,24.5,22,€13.31m,€519.00m,2 ,87,56,38,FR1
AS Monaco,47,23.2,31,€6.59m,€309.55m,1 ,95,76,38,FR1
Olympique Lyon,34,23.6,12,€6.22m,€211.35m,4 ,67,29,38,FR1
OGC Nice,39,23.5,16,€3.41m,€132.80m,3 ,78,27,38,FR1
Olympique Marseille,33,25.7,13,€3.63m,€119.65m,5 ,62,16,38,FR1
FC Girondins Bordeaux,36,24.6,21,€2.47m,€88.90m,6 ,59,10,38,FR1
AS Saint-Étienne,42,24.0,19,€2.02m,€85.03m,8 ,50,-1,38,FR1
LOSC Lille,46,24.6,25,€1.82m,€83.90m,11 ,46,-7,38,FR1
Stade Rennais FC,43,25.0,22,€1.88m,€80.90m,9 ,50,-6,38,FR1
FC Toulouse,38,23.9,20,€2.03m,€77.30m,13 ,44,-4,38,FR1
FC Lorient,41,25.1,18,€1.49m,€61.10m,18 ,36,-26,38,FR1
Montpellier HSC,35,25.6,19,€1.74m,€60.95m,15 ,39,-18,38,FR1
FC Nantes,30,24.4,18,€1.70m,€50.90m,7 ,51,-14,38,FR1
Angers SCO,36,26.3,20,€1.28m,€46.08m,12 ,46,-9,38,FR1
EA Guingamp,35,26.2,14,€1.21m,€42.50m,10 ,50,-7,38,FR1
FC Metz,39,24.5,24,€963k,€37.55m,14 ,43,-33,38,FR1
SM Caen,36,26.1,19,€1.02m,€36.65m,17 ,37,-29,38,FR1
SC Bastia,37,25.1,19,€985k,€36.45m,20 ,34,-25,38,FR1
AS Nancy-Lorraine,30,26.1,15,€1.10m,€33.10m,19 ,35,-23,38,FR1
Dijon FCO,33,26.3,12,€945k,€31.20m,16 ,37,-12,38,FR1
Paris Saint-Germain,32,25.3,16,€11.37m,€363.90m,1 ,83,47,38,FR1
AS Monaco,34,24.1,26,€5.52m,€187.70m,3 ,71,25,38,FR1
Olympique Lyon,31,24.4,14,€4.67m,€144.65m,2 ,75,39,38,FR1
Olympique Marseille,34,23.2,16,€4.11m,€139.70m,4 ,69,34,38,FR1
AS Saint-Étienne,31,25.4,11,€2.69m,€83.35m,5 ,69,21,38,FR1
LOSC Lille,31,25.3,18,€2.67m,€82.65m,8 ,56,1,38,FR1
FC Girondins Bordeaux,39,23.8,24,€1.83m,€71.50m,6 ,63,3,38,FR1
Stade Rennais FC,30,24.9,19,€2.20m,€66.00m,9 ,50,-7,38,FR1
FC Lorient,39,24.7,20,€1.54m,€59.95m,16 ,43,-6,38,FR1
OGC Nice,37,23.4,14,€1.52m,€56.25m,11 ,48,-9,38,FR1
Montpellier HSC,36,25.2,19,€1.44m,€51.95m,7 ,56,7,38,FR1
FC Toulouse,36,23.7,25,€1.36m,€48.80m,17 ,42,-21,38,FR1
FC Nantes,30,25.0,19,€1.56m,€46.85m,14 ,45,-11,38,FR1
Stade Reims,32,25.7,19,€1.23m,€39.25m,15 ,44,-19,38,FR1
EA Guingamp,31,26.8,14,€1.17m,€36.25m,10 ,49,-14,38,FR1
FC Évian Thonon Gaillard,33,27.0,21,€1.10m,€36.15m,18 ,37,-21,38,FR1
SC Bastia,41,24.6,20,€835k,€34.25m,12 ,47,-9,38,FR1
SM Caen,27,27.1,11,€1.20m,€32.40m,13 ,46,-1,38,FR1
FC Metz,32,25.4,23,€933k,€29.85m,19 ,30,-30,38,FR1
RC Lens,29,24.4,16,€938k,€27.20m,20 ,29,-29,38,FR1
Olympique Lyon,29,24.1,13,€6.56m,€190.25m,3 ,64,21,38,FR1
Olympique Marseille,35,25.9,21,€4.80m,€167.90m,2 ,68,23,38,FR1
LOSC Lille,28,25.2,16,€4.55m,€127.40m,1 ,76,32,38,FR1
FC Girondins Bordeaux,35,24.8,17,€3.53m,€123.65m,7 ,51,1,38,FR1
Stade Rennais FC,33,23.6,19,€3.30m,€108.95m,6 ,56,3,38,FR1
Paris Saint-Germain,29,26.4,14,€3.46m,€100.20m,4 ,60,15,38,FR1
FC Toulouse,32,23.9,16,€2.52m,€80.63m,8 ,50,2,38,FR1
AS Monaco,38,24.6,23,€1.98m,€75.40m,18 ,44,-4,38,FR1
AS Saint-Étienne,32,24.8,17,€2.25m,€72.05m,10 ,49,-1,38,FR1
AJ Auxerre,40,24.3,22,€1.66m,€66.20m,9 ,49,4,38,FR1
OGC Nice,36,25.3,21,€1.76m,€63.50m,17 ,46,-15,38,FR1
FC Lorient,32,25.2,12,€1.96m,€62.75m,11 ,49,-2,38,FR1
FC Sochaux-Montbéliard,30,24.1,14,€2.00m,€60.10m,5 ,58,17,38,FR1
Valenciennes FC,37,25.1,18,€1.55m,€57.45m,12 ,48,4,38,FR1
AS Nancy-Lorraine,30,26.1,16,€1.76m,€52.65m,13 ,48,-5,38,FR1
Montpellier HSC,32,25.2,13,€1.60m,€51.35m,14 ,47,-11,38,FR1
RC Lens,39,24.7,20,€1.17m,€45.60m,19 ,35,-23,38,FR1
SM Caen,30,24.8,10,€1.20m,€36.10m,15 ,46,-5,38,FR1
Stade Brestois 29,31,25.8,16,€1.10m,€34.10m,16 ,46,-7,38,FR1
Athlétic Club Arlésien,37,27.1,16,€539k,€19.95m,20 ,20,-49,38,FR1
Olympique Lyon,37,23.6,19,€5.63m,€208.30m,2 ,72,26,38,FR1
Olympique Marseille,32,26.1,19,€4.58m,€146.70m,1 ,78,33,38,FR1
FC Girondins Bordeaux,29,25.6,13,€4.96m,€143.70m,6 ,64,18,38,FR1
LOSC Lille,32,24.6,16,€3.27m,€104.60m,4 ,70,32,38,FR1
Paris Saint-Germain,27,26.7,11,€3.47m,€93.60m,13 ,47,4,38,FR1
FC Toulouse,35,23.8,14,€2.55m,€89.35m,14 ,47,0,38,FR1
AS Monaco,37,24.8,27,€2.36m,€87.25m,8 ,55,-6,38,FR1
Stade Rennais FC,31,25.6,17,€2.81m,€87.25m,9 ,53,11,38,FR1
AS Saint-Étienne,32,24.6,17,€2.38m,€76.15m,17 ,40,-18,38,FR1
AJ Auxerre,33,24.5,18,€1.95m,€64.25m,3 ,71,13,38,FR1
OGC Nice,31,25.2,17,€1.95m,€60.55m,15 ,44,-16,38,FR1
AS Nancy-Lorraine,31,25.7,17,€1.92m,€59.60m,12 ,48,-7,38,FR1
FC Lorient,30,26.5,11,€1.94m,€58.20m,7 ,58,12,38,FR1
Valenciennes FC,32,26.3,17,€1.69m,€54.20m,10 ,52,0,38,FR1
Montpellier HSC,33,25.2,13,€1.61m,€53.10m,5 ,69,10,38,FR1
Le Mans Union Club 72,39,24.0,26,€1.24m,€48.20m,18 ,32,-23,38,FR1
FC Sochaux-Montbéliard,31,23.4,16,€1.53m,€47.45m,16 ,41,-24,38,FR1
RC Lens,32,25.2,19,€1.47m,€47.05m,11 ,48,-4,38,FR1
Grenoble Foot 38,34,26.2,17,€1.01m,€34.50m,20 ,23,-30,38,FR1
US Boulogne,33,25.8,11,€924k,€30.50m,19 ,31,-31,38,FR1
Paris Saint-Germain,41,24.2,29,€19.63m,€805.00m,2 ,82,58,38,FR1
Olympique Lyon,40,24.2,28,€10.78m,€431.35m,4 ,76,38,38,FR1
AS Monaco,33,24.0,18,€11.22m,€370.35m,3 ,78,34,38,FR1
LOSC Lille,32,23.6,21,€10.10m,€323.20m,1 ,83,41,38,FR1
Stade Rennais FC,37,24.2,12,€8.04m,€297.50m,6 ,58,12,38,FR1
Olympique Marseille,43,24.2,21,€5.85m,€251.40m,5 ,60,7,38,FR1
OGC Nice,41,22.4,16,€5.76m,€236.10m,9 ,52,-3,38,FR1
AS Saint-Étienne,43,23.6,17,€3.59m,€154.50m,11 ,46,-12,38,FR1
Montpellier HSC,34,25.2,13,€3.35m,€113.85m,8 ,54,-2,38,FR1
Angers SCO,38,25.8,18,€2.94m,€111.65m,13 ,44,-18,38,FR1
RC Strasbourg Alsace,34,25.2,18,€3.23m,€109.65m,15 ,42,-9,38,FR1
FC Girondins Bordeaux,36,25.4,19,€2.94m,€105.70m,12 ,45,-14,38,FR1
Stade Reims,34,23.1,25,€3.09m,€105.18m,14 ,42,-8,38,FR1
RC Lens,36,24.9,16,€2.90m,€104.30m,7 ,57,1,38,FR1
FC Metz,35,24.6,25,€2.96m,€103.50m,10 ,47,-4,38,FR1
Stade Brestois 29,32,25.2,9,€3.23m,€103.23m,17 ,41,-16,38,FR1
FC Nantes,32,25.4,15,€2.96m,€94.75m,18 ,40,-8,38,FR1
FC Lorient,34,26.4,14,€2.14m,€72.88m,16 ,42,-18,38,FR1
Dijon FCO,37,24.3,24,€1.77m,€65.63m,20 ,21,-48,38,FR1
Nîmes Olympique,36,24.9,18,€1.68m,€60.40m,19 ,35,-31,38,FR1
Paris Saint-Germain,35,25.2,25,€24.98m,€874.15m,1 ,68,51,27,FR1
Olympique Lyon,33,24.0,20,€11.65m,€384.55m,7 ,40,15,28,FR1
AS Monaco,39,25.3,27,€8.49m,€331.03m,9 ,40,0,28,FR1
LOSC Lille,31,23.7,21,€7.99m,€247.78m,4 ,49,8,28,FR1
Olympique Marseille,34,24.3,12,€6.36m,€216.15m,2 ,56,12,28,FR1
OGC Nice,37,23.1,18,€4.69m,€173.45m,6 ,41,3,28,FR1
Stade Rennais FC,33,25.0,15,€5.21m,€171.88m,3 ,50,14,28,FR1
FC Girondins Bordeaux,31,25.0,19,€4.04m,€125.35m,12 ,37,6,28,FR1
FC Nantes,35,25.0,19,€3.03m,€106.15m,13 ,37,-3,28,FR1
AS Saint-Étienne,41,24.8,15,€2.56m,€104.83m,17 ,30,-16,28,FR1
RC Strasbourg Alsace,31,25.7,14,€2.94m,€91.13m,10 ,38,0,27,FR1
Angers SCO,31,25.9,14,€2.89m,€89.48m,11 ,39,-5,28,FR1
Montpellier HSC,30,26.2,14,€2.72m,€81.68m,8 ,40,1,28,FR1
Stade Reims,31,23.7,21,€2.63m,€81.68m,5 ,41,5,28,FR1
FC Toulouse,35,23.5,13,€2.05m,€71.88m,20 ,13,-36,28,FR1
Amiens SC,37,25.3,20,€1.67m,€61.93m,19 ,23,-19,28,FR1
FC Metz,32,24.4,21,€1.69m,€54.10m,15 ,34,-8,28,FR1
Dijon FCO,31,25.3,19,€1.62m,€50.23m,16 ,30,-10,28,FR1
Nîmes Olympique,35,23.8,12,€1.42m,€49.65m,18 ,27,-15,28,FR1
Stade Brestois 29,28,26.0,8,€1.71m,€47.78m,14 ,34,-3,28,FR1
Paris Saint-Germain,39,24.9,22,€25.90m,€1.01bn,1 ,91,70,38,FR1
Olympique Lyon,34,23.7,17,€13.76m,€467.95m,3 ,72,23,38,FR1
AS Monaco,57,23.4,36,€6.77m,€385.83m,17 ,36,-19,38,FR1
LOSC Lille,32,23.7,24,€8.36m,€267.55m,2 ,75,35,38,FR1
Olympique Marseille,33,26.1,16,€7.83m,€258.35m,5 ,61,8,38,FR1
OGC Nice,38,22.7,17,€4.82m,€183.20m,7 ,56,-5,38,FR1
FC Girondins Bordeaux,43,23.8,23,€4.16m,€179.00m,14 ,41,-8,38,FR1
Stade Rennais FC,41,23.8,16,€4.11m,€168.45m,10 ,52,3,38,FR1
AS Saint-Étienne,42,24.3,17,€3.13m,€131.25m,4 ,66,18,38,FR1
FC Nantes,40,24.6,27,€2.99m,€119.50m,12 ,48,0,38,FR1
FC Toulouse,40,24.1,19,€2.83m,€113.25m,16 ,38,-22,38,FR1
Montpellier HSC,32,25.7,16,€3.43m,€109.85m,6 ,59,11,38,FR1
RC Strasbourg Alsace,33,25.2,14,€2.97m,€98.00m,11 ,49,10,38,FR1
