name,squad,ageAvg,foreigners,marketValueAvg,totalMarketValue,rank,points,teamAverage,teamMatches,leagueName
Valenciennes FC,37,25.1,18,1.55,57.45,12,48,4,38,FR1
AS Nancy-Lorraine,30,26.1,16,1.76,52.65,13,48,-5,38,FR1
Montpellier HSC,32,25.2,13,1.6,51.35,14,47,-11,38,FR1
RC Lens,39,24.7,20,1.17,45.6,19,35,-23,38,FR1
SM Caen,30,24.8,10,1.2,36.1,15,46,-5,38,FR1
Stade Brestois 29,31,25.8,16,1.1,34.1,16,46,-7,38,FR1
Athletic Club Arlesien,37,27.1,16,0.539,19.95,20,20,-49,38,FR1
Olympique Lyon,37,23.6,19,5.63,208.3,2,72,26,38,FR1
Olympique Marseille,32,26.1,19,4.58,146.7,1,78,33,38,FR1
FC Girondins Bordeaux,29,25.6,13,4.96,143.7,6,64,18,38,FR1
LOSC Lille,32,24.6,16,3.27,104.6,4,70,32,38,FR1
Paris Saint-Germain,27,26.7,11,3.47,93.6,13,47,4,38,FR1
FC Toulouse,35,23.8,14,2.55,89.35,14,47,0,38,FR1
AS Monaco,37,24.8,27,2.36,87.25,8,55,-6,38,FR1
Stade Rennais FC,31,25.6,17,2.81,87.25,9,53,11,38,FR1
AS Saint-Etienne,32,24.6,17,2.38,76.15,17,40,-18,38,FR1
AJ Auxerre,33,24.5,18,1.95,64.25,3,71,13,38,FR1
OGC Nice,31,25.2,17,1.95,60.55,15,44,-16,38,FR1
AS Nancy-Lorraine,31,25.7,17,1.92,59.6,12,48,-7,38,FR1
FC Lorient,30,26.5,11,1.94,58.2,7,58,12,38,FR1
Valenciennes FC,32,26.3,17,1.69,54.2,10,52,0,38,FR1
Montpellier HSC,33,25.2,13,1.61,53.1,5,69,10,38,FR1
Le Mans Union Club 72,39,24.0,26,1.24,48.2,18,32,-23,38,FR1
FC Sochaux-Montbeliard,31,23.4,16,1.53,47.45,16,41,-24,38,FR1
RC Lens,32,25.2,19,1.47,47.05,11,48,-4,38,FR1
Grenoble Foot 38,34,26.2,17,1.01,34.5,20,23,-30,38,FR1
US Boulogne,33,25.8,11,0.924,30.5,19,31,-31,38,FR1
Paris Saint-Germain,41,24.2,29,19.63,805.0,2,82,58,38,FR1
Olympique Lyon,40,24.2,28,10.78,431.35,4,76,38,38,FR1
AS Monaco,33,24.0,18,11.22,370.35,3,78,34,38,FR1
LOSC Lille,32,23.6,21,10.1,323.2,1,83,41,38,FR1
Stade Rennais FC,37,24.2,12,8.04,297.5,6,58,12,38,FR1
Olympique Marseille,43,24.2,21,5.85,251.4,5,60,7,38,FR1
OGC Nice,41,22.4,16,5.76,236.1,9,52,-3,38,FR1
AS Saint-Etienne,43,23.6,17,3.59,154.5,11,46,-12,38,FR1
Montpellier HSC,34,25.2,13,3.35,113.85,8,54,-2,38,FR1
Angers SCO,38,25.8,18,2.94,111.65,13,44,-18,38,FR1
RC Strasbourg Alsace,34,25.2,18,3.23,109.65,15,42,-9,38,FR1
FC Girondins Bordeaux,36,25.4,19,2.94,105.7,12,45,-14,38,FR1
Stade Reims,34,23.1,25,3.09,105.18,14,42,-8,38,FR1
RC Lens,36,24.9,16,2.9,104.3,7,57,1,38,FR1
FC Metz,35,24.6,25,2.96,103.5,10,47,-4,38,FR1
Stade Brestois 29,32,25.2,9,3.23,103.23,17,41,-16,38,FR1
FC Nantes,32,25.4,15,2.96,94.75,18,40,-8,38,FR1
FC Lorient,34,26.4,14,2.14,72.88,16,42,-18,38,FR1
Dijon FCO,37,24.3,24,1.77,65.63,20,21,-48,38,FR1
Nimes Olympique,36,24.9,18,1.68,60.4,19,35,-31,38,FR1
Paris Saint-Germain,35,25.2,25,24.98,874.15,1,68,51,27,FR1
Olympique Lyon,33,24.0,20,11.65,384.55,7,40,15,28,FR1
AS Monaco,39,25.3,27,8.49,331.03,9,40,0,28,FR1
LOSC Lille,31,23.7,21,7.99,247.78,4,49,8,28,FR1
Olympique Marseille,34,24.3,12,6.36,216.15,2,56,12,28,FR1
OGC Nice,37,23.1,18,4.69,173.45,6,41,3,28,FR1
Stade Rennais FC,33,25.0,15,5.21,171.88,3,50,14,28,FR1
FC Girondins Bordeaux,31,25.0,19,4.04,125.35,12,37,6,28,FR1
FC Nantes,35,25.0,19,3.03,106.15,13,37,-3,28,FR1
AS Saint-Etienne,41,24.8,15,2.56,104.83,17,30,-16,28,FR1
RC Strasbourg Alsace,31,25.7,14,2.94,91.13,10,38,0,27,FR1
Angers SCO,31,25.9,14,2.89,89.48,11,39,-5,28,FR1
Montpellier HSC,30,26.2,14,2.72,81.68,8,40,1,28,FR1
Stade Reims,31,23.7,21,2.63,81.68,5,41,5,28,FR1
FC Toulouse,35,23.5,13,2.05,71.88,20,13,-36,28,FR1
Amiens SC,37,25.3,20,1.67,61.93,19,23,-19,28,FR1
FC Metz,32,24.4,21,1.69,54.1,15,34,-8,28,FR1
Dijon FCO,31,25.3,19,1.62,50.23,16,30,-10,28,FR1
Nimes Olympique,35,23.8,12,1.42,49.65,18,27,-15,28,FR1
Stade Brestois 29,28,26.0,8,1.71,47.78,14,34,-3,28,FR1
Paris Saint-Germain,39,24.9,22,25.9,1010.0,1,91,70,38,FR1
Olympique Lyon,34,23.7,17,13.76,467.95,3,72,23,38,FR1
AS Monaco,57,23.4,36,6.77,385.83,17,36,-19,38,FR1
LOSC Lille,32,23.7,24,8.36,267.55,2,75,35,38,FR1
Olympique Marseille,33,26.1,16,7.83,258.35,5,61,8,38,FR1
OGC Nice,38,22.7,17,4.82,183.2,7,56,-5,38,FR1
FC Girondins Bordeaux,43,23.8,23,4.16,179.0,14,41,-8,38,FR1
Stade Rennais FC,41,23.8,16,4.11,168.45,10,52,3,38,FR1
AS Saint-Etienne,42,24.3,17,3.13,131.25,4,66,18,38,FR1
FC Nantes,40,24.6,27,2.99,119.5,12,48,0,38,FR1
FC Toulouse,40,24.1,19,2.83,113.25,16,38,-22,38,FR1
Montpellier HSC,32,25.7,16,3.43,109.85,6,59,11,38,FR1
RC Strasbourg Alsace,33,25.2,14,2.97,98.0,11,49,10,38,FR1
Nimes Olympique,31,25.0,14,2.84,88.15,9,53,-1,38,FR1
Stade Reims,37,24.5,22,2.35,86.95,8,55,-3,38,FR1
Angers SCO,38,26.5,19,2.1,79.7,13,46,-5,38,FR1
EA Guingamp,37,25.3,16,1.91,70.65,20,27,-40,38,FR1
Amiens SC,36,25.4,18,1.96,70.5,15,38,-21,38,FR1
SM Caen,39,24.8,19,1.73,67.55,19,33,-25,38,FR1
Dijon FCO,32,25.8,18,2.06,65.8,18,34,-29,38,FR1
Olympique Lyon,28,24.9,12,6.19,173.23,1,84,42,38,FR1
AS Monaco,35,25.3,16,3.26,114.0,10,52,6,38,FR1
Olympique Marseille,47,24.6,25,2.05,96.3,5,60,9,38,FR1
Paris Saint-Germain,31,25.5,17,2.74,84.98,9,52,6,38,FR1
Stade Rennais FC,34,22.9,21,2.28,77.55,7,59,-1,38,FR1
LOSC Lille,33,23.7,15,2.33,76.75,3,62,25,38,FR1
FC Girondins Bordeaux,29,25.2,14,2.37,68.65,2,69,18,38,FR1
RC Lens,29,25.3,16,2.34,68.0,4,60,14,38,FR1
AJ Auxerre,35,24.7,13,1.79,62.75,6,59,11,38,FR1
AS Saint-Etienne,29,23.7,15,2.15,62.3,13,47,-10,38,FR1
FC Nantes,34,23.9,16,1.52,51.6,14,45,-4,38,FR1
FC Sochaux-Montbeliard,35,24.1,21,1.46,51.0,15,44,-13,38,FR1
FC Toulouse,30,24.2,11,1.56,46.8,16,41,-11,38,FR1
RC Strasbourg Alsace,35,23.6,17,1.28,44.85,19,29,-23,38,FR1
OGC Nice,29,25.6,13,1.36,39.5,8,58,5,38,FR1
Le Mans Union Club 72,30,24.0,11,1.25,37.5,11,52,-3,38,FR1
FC Metz,42,23.6,27,0.881,37.0,20,29,-33,38,FR1
AS Nancy-Lorraine,31,24.0,14,0.916,28.4,12,48,-2,38,FR1
ESTAC Troyes,33,26.5,12,0.852,28.13,17,39,-10,38,FR1
AC Ajaccio,33,25.8,13,0.761,25.1,18,33,-26,38,FR1
Paris Saint-Germain,33,25.0,18,12.19,402.3,1,89,61,38,FR1
AS Monaco,45,25.1,32,5.39,242.55,2,80,32,38,FR1
Olympique Marseille,36,25.0,21,3.93,141.3,6,60,13,38,FR1
Olympique Lyon,36,24.2,16,3.01,108.5,5,61,12,38,FR1
AS Saint-Etienne,34,25.3,12,3.1,105.4,4,69,22,38,FR1
Stade Rennais FC,39,24.2,26,2.37,92.6,12,46,2,38,FR1
LOSC Lille,32,25.3,19,2.32,74.1,3,71,20,38,FR1
FC Toulouse,39,23.8,24,1.73,67.4,9,49,-7,38,FR1
FC Girondins Bordeaux,38,25.4,23,1.65,62.7,7,53,6,38,FR1
FC Lorient,38,24.1,19,1.5,57.15,8,49,-5,38,FR1
OGC Nice,42,22.9,17,1.34,56.1,17,42,-14,38,FR1
Montpellier HSC,31,25.1,18,1.69,52.35,15,42,-8,38,FR1
FC Sochaux-Montbeliard,44,24.3,28,1.08,47.45,18,40,-24,38,FR1
FC Nantes,34,25.1,22,1.16,39.55,13,46,-5,38,FR1
Stade Reims,35,25.0,20,1.11,38.73,11,48,-8,38,FR1
Valenciennes FC,34,25.5,19,1.08,36.65,19,29,-28,38,FR1
SC Bastia,35,26.5,13,1.02,35.6,10,49,-14,38,FR1
FC Evian Thonon Gaillard,35,25.9,21,1.0,35.0,14,44,-12,38,FR1
AC Ajaccio,38,25.4,21,0.745,28.3,20,23,-35,38,FR1
EA Guingamp,30,26.6,14,0.714,21.43,16,42,-8,38,FR1
Paris Saint-Germain,35,24.9,20,12.47,436.3,1,96,83,38,FR1
AS Monaco,39,23.3,26,5.83,227.4,3,65,7,38,FR1
Olympique Lyon,33,25.0,14,5.04,166.3,2,65,24,38,FR1
Olympique Marseille,38,23.9,22,3.41,129.5,13,48,6,38,FR1
AS Saint-Etienne,40,25.1,15,2.43,97.2,6,58,5,38,FR1
Stade Rennais FC,38,24.6,22,2.48,94.15,8,52,-2,38,FR1
FC Girondins Bordeaux,42,23.5,25,2.16,90.7,11,50,-7,38,FR1
OGC Nice,35,23.4,13,2.03,70.95,4,63,17,38,FR1
LOSC Lille,34,25.5,19,2.08,70.8,5,60,12,38,FR1
FC Lorient,35,24.7,20,1.66,58.05,15,46,-11,38,FR1
Montpellier HSC,32,25.9,16,1.39,44.4,12,49,2,38,FR1
Stade Reims,35,25.7,19,1.23,42.95,18,39,-13,38,FR1
FC Toulouse,32,24.1,20,1.34,42.9,17,40,-10,38,FR1
FC Nantes,32,24.8,17,1.23,39.3,14,48,-11,38,FR1
SM Caen,30,25.6,15,1.23,36.8,7,54,-13,38,FR1
EA Guingamp,31,26.8,10,1.08,33.5,16,44,-9,38,FR1
Angers SCO,34,27.3,19,0.951,32.35,9,50,2,38,FR1
ESTAC Troyes,37,26.3,17,0.83,30.7,20,18,-55,38,FR1
SC Bastia,31,25.8,15,0.782,24.25,10,50,-6,38,FR1
GFC Ajaccio,30,25.8,12,0.613,18.4,19,37,-21,38,FR1
Paris Saint-Germain,35,26.5,19,6.03,211.1,2,79,34,38,FR1
Olympique Lyon,42,23.3,21,3.9,163.85,4,64,13,38,FR1
Olympique Marseille,35,25.3,20,4.19,146.5,10,48,4,38,FR1
LOSC Lille,29,26.4,17,5.01,145.35,3,74,33,38,FR1
Stade Rennais FC,32,23.7,25,3.18,101.8,6,60,9,38,FR1
Montpellier HSC,31,26.0,16,2.78,86.2,1,82,34,38,FR1
AS Saint-Etienne,36,25.2,16,2.38,85.6,7,57,4,38,FR1
FC Toulouse,33,23.0,15,2.52,83.05,8,56,3,38,FR1
FC Girondins Bordeaux,30,25.2,17,2.74,82.05,5,61,12,38,FR1
FC Sochaux-Montbeliard,36,23.3,20,1.63,58.8,14,42,-20,38,FR1
FC Lorient,36,24.9,19,1.5,54.05,17,39,-14,38,FR1
AS Nancy-Lorraine,37,25.4,22,1.46,53.9,11,45,-10,38,FR1
OGC Nice,34,24.9,18,1.54,52.45,13,42,-7,38,FR1
AJ Auxerre,42,24.0,26,1.21,50.9,20,34,-11,38,FR1
Valenciennes FC,36,24.4,16,1.24,44.5,12,43,-10,38,FR1
Stade Brestois 29,37,26.1,23,1.17,43.2,15,41,-7,38,FR1
Dijon FCO,34,24.9,13,1.08,36.8,19,36,-25,38,FR1
FC Evian Thonon Gaillard,33,27.0,16,0.997,32.9,9,50,-1,38,FR1
SM Caen,28,25.4,10,1.14,31.8,18,38,-20,38,FR1
AC Ajaccio,33,26.2,15,0.805,26.55,16,41,-21,38,FR1
Paris Saint-Germain,36,26.9,18,8.71,313.6,1,83,46,38,FR1
Olympique Lyon,52,23.9,24,2.99,155.65,3,67,23,38,FR1
Olympique Marseille,43,24.1,27,3.5,150.65,2,71,6,38,FR1
LOSC Lille,28,26.3,12,4.09,114.6,6,62,19,38,FR1
Stade Rennais FC,35,23.9,22,2.79,97.8,13,46,-11,38,FR1
AS Saint-Etienne,34,24.8,17,2.87,97.6,5,63,28,38,FR1
FC Toulouse,32,23.6,17,2.56,82.0,10,51,2,38,FR1
FC Girondins Bordeaux,30,26.1,17,2.7,80.95,7,55,6,38,FR1
Montpellier HSC,36,25.3,17,2.19,78.7,9,52,3,38,FR1
FC Lorient,35,25.7,18,1.82,63.75,8,53,-1,38,FR1
OGC Nice,39,23.3,16,1.52,59.15,4,64,11,38,FR1
Valenciennes FC,32,25.6,16,1.55,49.75,11,48,-4,38,FR1
FC Sochaux-Montbeliard,34,24.7,23,1.38,46.85,15,41,-16,38,FR1
AS Nancy-Lorraine,37,23.2,21,0.996,36.85,18,38,-20,38,FR1
Stade Brestois 29,37,25.4,20,0.976,36.1,20,29,-30,38,FR1
SC Bastia,37,25.8,13,0.974,36.05,12,47,-16,38,FR1
FC Evian Thonon Gaillard,35,26.5,19,0.987,34.55,16,40,-7,38,FR1
AC Ajaccio,32,27.2,18,1.07,34.1,17,40,-12,38,FR1
Stade Reims,29,25.9,15,1.02,29.5,14,43,-9,38,FR1
ESTAC Troyes,31,26.2,13,0.703,21.8,19,37,-18,38,FR1
Bayern Munich,38,23.7,21,20.46,777.33,1,82,68,34,L1
Borussia Dortmund,37,24.5,20,17.68,654.05,2,69,43,34,L1
RB Leipzig,38,23.0,26,15.01,570.48,3,66,44,34,L1
Bayer 04 Leverkusen,29,25.1,18,13.76,398.95,5,63,17,34,L1
Borussia Mönchengladbach,34,25.8,19,7.49,254.7,4,65,26,34,L1
TSG 1899 Hoffenheim,37,26.3,25,6.11,226.05,6,52,0,34,L1
FC Schalke 04,33,24.2,20,6.71,221.58,12,39,-20,34,L1
Hertha BSC,42,24.2,21,5.17,217.2,10,41,-11,34,L1
Eintracht Frankfurt,35,26.4,23,5.97,208.98,9,45,-1,34,L1
VfL Wolfsburg,38,24.7,23,5.46,207.6,7,49,2,34,L1
SV Werder Bremen,36,26.2,18,3.75,135.13,16,31,-27,34,L1
SC Freiburg,30,25.8,10,4.09,122.65,8,48,1,34,L1
1.FSV Mainz 05,35,23.9,19,3.47,121.58,13,37,-21,34,L1
FC Augsburg,37,25.4,18,3.05,112.95,15,36,-18,34,L1
1. FC Köln,35,25.3,13,2.81,98.48,14,36,-18,34,L1
Fortuna Düsseldorf,37,26.2,16,1.94,71.78,17,30,-31,34,L1
1.FC Union Berlin,34,26.2,11,1.21,41.2,11,41,-17,34,L1
SC Paderborn 07,32,25.3,15,0.903,28.9,18,20,-37,34,L1
Olympique Lyon,29,24.0,12,4.62,133.9,1,79,34,38,FR1
AS Monaco,32,24.2,17,3.24,103.8,3,63,17,38,FR1
Paris Saint-Germain,34,25.1,21,2.4,81.75,9,51,-1,38,FR1
Olympique Marseille,29,25.7,14,2.71,78.6,5,55,5,38,FR1
Stade Rennais FC,31,22.7,16,1.98,61.3,4,55,7,38,FR1
LOSC Lille,30,23.9,14,1.88,56.25,2,67,23,38,FR1
FC Girondins Bordeaux,26,24.7,12,2.02,52.6,15,44,-4,38,FR1
RC Lens,28,24.9,16,1.88,52.5,7,52,6,38,FR1
FC Sochaux-Montbeliard,30,24.7,15,1.66,49.65,10,50,1,38,FR1
AJ Auxerre,37,24.4,12,1.29,47.85,8,52,1,38,FR1
FC Nantes,38,23.3,19,1.25,47.55,17,43,-5,38,FR1
AS Saint-Etienne,29,23.9,12,1.29,37.5,6,53,13,38,FR1
FC Toulouse,29,24.0,9,1.28,37.1,13,46,-7,38,FR1
FC Metz,32,23.2,17,1.12,35.7,16,44,-12,38,FR1
RC Strasbourg Alsace,32,24.0,16,1.1,35.1,11,48,-1,38,FR1
OGC Nice,31,26.3,12,1.1,34.1,12,46,-7,38,FR1
SC Bastia,32,24.8,16,0.995,31.85,19,41,-16,38,FR1
AC Ajaccio,29,26.4,16,0.847,24.55,14,45,-4,38,FR1
SM Caen,33,24.6,12,0.688,22.7,18,42,-24,38,FR1
FC Istres Ouest Provence ,33,26.2,13,0.561,18.5,20,32,-26,38,FR1
Bayern Munich,33,26.1,18,17.05,562.55,1,82,67,34,L1
Borussia Dortmund,31,25.2,16,12.6,390.65,3,64,32,34,L1
Bayer 04 Leverkusen,39,23.8,22,6.8,265.03,12,41,-2,34,L1
FC Schalke 04,39,24.7,22,5.57,217.25,10,43,5,34,L1
VfL Wolfsburg,43,24.5,21,4.72,203.08,16,37,-18,34,L1
RB Leipzig,33,23.6,17,5.34,176.33,2,67,27,34,L1
Borussia Mönchengladbach,33,24.4,16,4.91,162.18,9,45,-4,34,L1
TSG 1899 Hoffenheim,33,24.5,16,4.2,138.63,4,62,27,34,L1
1. FC Köln,30,25.4,14,3.87,116.15,5,49,9,34,L1
1.FSV Mainz 05,39,24.3,23,2.48,96.73,15,37,-11,34,L1
Hertha BSC,33,25.0,15,2.93,96.53,6,49,-4,34,L1
SV Werder Bremen,41,25.5,20,2.18,89.45,8,45,-3,34,L1
SC Freiburg,36,25.0,14,2.41,86.73,7,48,-18,34,L1
Hamburger SV,38,24.6,21,2.12,80.48,14,38,-28,34,L1
Eintracht Frankfurt,35,24.1,22,2.07,72.3,11,42,-7,34,L1
FC Augsburg,37,26.3,21,1.78,65.85,13,38,-16,34,L1
FC Ingolstadt 04,32,24.8,15,1.21,38.63,17,32,-21,34,L1
SV Darmstadt 98,39,26.7,17,0.666,25.98,18,25,-35,34,L1
Olympique Lyon,37,23.8,20,5.72,211.7,3,71,23,38,FR1
Olympique Marseille,32,25.7,17,4.59,146.9,2,77,32,38,FR1
FC Girondins Bordeaux,26,25.1,13,4.75,123.5,1,80,30,38,FR1
Paris Saint-Germain,31,24.7,13,3.01,93.35,6,64,11,38,FR1
LOSC Lille,33,24.0,14,2.53,83.45,5,64,12,38,FR1
AS Saint-Etienne,34,24.1,13,2.36,80.15,17,40,-16,38,FR1
Stade Rennais FC,38,24.5,17,2.09,79.4,7,61,8,38,FR1
AS Monaco,37,24.0,27,2.1,77.65,11,45,-4,38,FR1
FC Toulouse,29,24.3,10,2.44,70.65,4,64,18,38,FR1
AS Nancy-Lorraine,28,25.7,15,2.03,56.7,15,42,-9,38,FR1
OGC Nice,31,25.6,16,1.81,56.25,9,50,-1,38,FR1
AJ Auxerre,29,24.4,17,1.83,53.15,8,55,0,38,FR1
Le Mans Union Club 72,30,23.7,18,1.73,52.0,16,40,-11,38,FR1
FC Sochaux-Montbeliard,33,25.1,17,1.54,50.9,14,42,-8,38,FR1
FC Lorient,30,26.4,10,1.64,49.25,10,45,0,38,FR1
Valenciennes FC,26,27.6,14,1.61,41.75,12,44,-7,38,FR1
SM Caen,30,26.3,11,1.33,39.75,18,37,-7,38,FR1
FC Nantes,35,25.6,20,1.09,38.1,19,37,-21,38,FR1
Grenoble Foot 38,35,26.9,18,0.989,34.6,13,44,-13,38,FR1
AC Le Havre,43,23.8,17,0.737,31.7,20,26,-37,38,FR1
Olympique Lyon,32,25.7,15,6.67,213.35,1,79,37,38,FR1
Olympique Marseille,36,25.3,20,3.84,138.35,3,62,13,38,FR1
FC Girondins Bordeaux,31,24.4,16,3.25,100.75,2,75,27,38,FR1
AS Monaco,35,24.7,24,2.56,89.75,12,47,-8,38,FR1
RC Lens,35,25.7,20,2.36,82.5,18,40,-9,38,FR1
AS Saint-Etienne,26,24.9,14,3.09,80.4,5,58,13,38,FR1
LOSC Lille,36,23.6,19,2.08,74.9,7,57,13,38,FR1
Paris Saint-Germain,32,24.6,15,2.3,73.45,16,43,-8,38,FR1
Stade Rennais FC,36,24.9,13,2.03,73.15,6,58,3,38,FR1
Le Mans Union Club 72,32,23.5,20,2.18,69.85,9,53,-3,38,FR1
FC Toulouse,32,24.7,15,2.17,69.5,17,42,-6,38,FR1
OGC Nice,32,26.0,14,2.13,68.1,8,55,5,38,FR1
AS Nancy-Lorraine,28,25.5,14,2.42,67.7,4,60,14,38,FR1
FC Sochaux-Montbeliard,32,24.8,15,1.76,56.3,14,44,-9,38,FR1
AJ Auxerre,33,24.2,18,1.67,55.0,15,44,-19,38,FR1
Valenciennes FC,25,27.0,12,1.87,46.8,13,45,2,38,FR1
RC Strasbourg Alsace,36,24.6,16,1.15,41.4,19,35,-21,38,FR1
FC Lorient,31,25.4,13,1.29,39.85,10,52,-3,38,FR1
SM Caen,29,25.9,7,1.34,38.75,11,51,-5,38,FR1
FC Metz,44,24.0,25,0.703,30.95,20,24,-36,38,FR1
Bayern Munich,34,25.9,19,17.53,596.05,1,88,63,34,L1
Borussia Dortmund,30,24.9,13,11.77,352.95,2,78,48,34,L1
VfL Wolfsburg,35,25.5,19,7.73,270.43,8,45,-2,34,L1
Bayer 04 Leverkusen,33,24.2,21,7.31,241.3,3,60,16,34,L1
FC Schalke 04,32,24.9,14,7.04,225.2,5,52,2,34,L1
Borussia Mönchengladbach,29,25.4,17,6.42,186.15,4,55,17,34,L1
TSG 1899 Hoffenheim,30,24.9,16,3.01,90.2,15,37,-15,34,L1
1.FSV Mainz 05,39,25.3,22,2.18,85.15,6,50,4,34,L1
VfB Stuttgart,34,24.8,19,2.39,81.18,17,33,-25,34,L1
Hertha BSC,34,25.3,15,2.32,78.93,7,50,0,34,L1
Eintracht Frankfurt,35,24.9,21,2.19,76.6,16,36,-18,34,L1
FC Augsburg,39,25.9,21,1.95,75.93,12,38,-10,34,L1
1. FC Köln,25,25.0,12,2.75,68.63,9,43,-4,34,L1
SV Werder Bremen,39,24.6,18,1.66,64.68,13,38,-15,34,L1
Hamburger SV,35,25.8,18,1.81,63.2,10,41,-6,34,L1
Hannover 96,39,24.6,21,1.56,60.83,18,25,-31,34,L1
FC Ingolstadt 04,29,25.2,16,1.23,35.65,11,40,-9,34,L1
SV Darmstadt 98,30,27.3,8,0.838,25.15,14,38,-15,34,L1
Olympique Lyon,35,25.2,15,6.76,236.45,1,81,37,38,FR1
Olympique Marseille,32,24.8,16,3.72,119.05,2,64,15,38,FR1
LOSC Lille,32,24.2,16,3.19,102.15,10,50,2,38,FR1
AS Monaco,36,25.1,21,2.72,97.8,9,51,7,38,FR1
FC Girondins Bordeaux,35,24.3,19,2.47,86.4,6,57,4,38,FR1
Paris Saint-Germain,33,25.1,15,2.6,85.9,15,48,0,38,FR1
RC Lens,31,24.8,20,2.64,81.85,5,57,6,38,FR1
AS Saint-Etienne,31,24.7,17,2.62,81.1,11,49,2,38,FR1
Stade Rennais FC,33,24.1,19,2.39,78.85,4,57,8,38,FR1
AJ Auxerre,38,23.7,18,1.81,68.75,8,54,0,38,FR1
FC Sochaux-Montbeliard,32,25.3,17,1.77,56.63,7,57,-2,38,FR1
AS Nancy-Lorraine,33,25.4,16,1.43,47.35,13,49,-7,38,FR1
FC Toulouse,33,24.0,15,1.41,46.4,3,58,4,38,FR1
Le Mans Union Club 72,31,23.3,16,1.48,46.0,12,49,-1,38,FR1
FC Nantes,37,24.4,22,1.12,41.4,20,34,-23,38,FR1
OGC Nice,29,25.4,13,1.41,41.0,16,43,-6,38,FR1
ESTAC Troyes,33,26.7,14,0.895,29.55,18,39,-15,38,FR1
CS Sedan-Ardennes,31,26.0,12,0.834,25.85,19,35,-12,38,FR1
FC Lorient,34,25.6,14,0.714,24.28,14,49,-7,38,FR1
Valenciennes FC,27,27.4,9,0.877,23.68,17,43,-12,38,FR1
Bayern Munich,29,25.3,13,15.94,462.4,1,91,80,34,L1
Borussia Dortmund,31,24.2,10,9.75,302.3,2,66,39,34,L1
FC Schalke 04,34,24.8,22,5.4,183.55,4,55,8,34,L1
Bayer 04 Leverkusen,33,23.6,11,4.71,155.3,3,65,26,34,L1
VfL Wolfsburg,36,25.8,26,3.03,109.0,11,43,-5,34,L1
Hamburger SV,30,25.1,18,3.5,104.95,7,48,-11,34,L1
VfB Stuttgart,34,25.4,19,2.74,93.13,12,43,-18,34,L1
Borussia Mönchengladbach,29,24.3,14,3.01,87.33,8,47,-4,34,L1
Hannover 96,35,25.6,20,2.38,83.15,9,45,-2,34,L1
TSG 1899 Hoffenheim,43,23.7,24,1.82,78.25,16,31,-25,34,L1
SV Werder Bremen,32,23.5,14,2.44,78.0,14,34,-16,34,L1
Eintracht Frankfurt,31,25.4,13,2.21,68.4,6,51,3,34,L1
SC Freiburg,32,24.1,15,2.06,65.8,5,51,5,34,L1
1.FSV Mainz 05,32,26.4,18,1.64,52.43,13,42,-2,34,L1
1.FC Nuremberg,32,24.1,13,1.46,46.83,10,44,-8,34,L1
FC Augsburg,33,26.2,18,1.17,38.45,15,33,-18,34,L1
SpVgg Greuther FÃ¼rth,37,24.8,18,0.901,33.33,18,21,-34,34,L1
Fortuna Düsseldorf,35,25.7,19,0.89,31.15,17,30,-18,34,L1
Bayern Munich,33,24.8,16,16.88,556.88,1,90,71,34,L1
Borussia Dortmund,31,24.7,11,10.52,326.05,2,71,42,34,L1
FC Schalke 04,38,24.4,18,5.35,203.25,3,64,20,34,L1
Bayer 04 Leverkusen,35,24.3,14,5.03,175.88,4,61,19,34,L1
VfL Wolfsburg,36,25.3,24,4.31,155.23,5,60,13,34,L1
Borussia Mönchengladbach,28,25.0,14,3.98,111.38,6,55,16,34,L1
VfB Stuttgart,35,25.0,18,3.09,108.3,15,32,-13,34,L1
Hamburger SV,34,24.9,18,3.02,102.78,16,27,-24,34,L1
TSG 1899 Hoffenheim,43,23.7,25,2.27,97.4,9,44,2,34,L1
Eintracht Frankfurt,33,24.7,11,2.61,86.2,13,36,-17,34,L1
Hannover 96,36,25.2,20,2.23,80.23,10,42,-13,34,L1
SC Freiburg,35,23.7,16,2.05,71.68,14,36,-18,34,L1
Hertha BSC,32,25.9,14,2.13,68.08,11,41,-8,34,L1
SV Werder Bremen,39,23.7,17,1.7,66.4,12,39,-24,34,L1
1.FSV Mainz 05,32,26.6,16,1.86,59.45,7,53,-2,34,L1
1.FC Nuremberg,33,24.2,16,1.71,56.45,17,26,-33,34,L1
FC Augsburg,35,25.2,20,1.31,45.95,8,52,0,34,L1
Eintracht Braunschweig,33,25.9,11,0.866,28.58,18,25,-31,34,L1
Bayern Munich,38,24.7,21,20.8,790.33,1,77,60,34,L1
Borussia Dortmund,44,23.9,24,12.7,558.98,2,69,33,34,L1
RB Leipzig,34,23.9,23,14.68,498.95,4,58,35,34,L1
Bayer 04 Leverkusen,35,24.6,24,13.0,455.05,3,64,33,34,L1
VfL Wolfsburg,37,25.3,24,7.28,269.3,12,42,-11,34,L1
Borussia Mönchengladbach,31,25.4,15,7.64,236.8,10,45,-7,34,L1
Eintracht Frankfurt,36,25.2,23,6.35,228.75,11,42,-4,34,L1
TSG 1899 Hoffenheim,40,24.9,21,5.29,211.43,9,46,-2,34,L1
SC Freiburg,32,25.0,12,5.51,176.35,6,55,12,34,L1
VfB Stuttgart,39,23.5,21,4.47,174.23,15,33,-18,34,L1
