name,squad,ageAvg,foreigners,marketValueAvg,totalMarketValue,rank,points,teamAverage,teamMatches,leagueName
Genoa CFC,47,24.2,27,2.5,117.55,10,46,-3,38,IT1
US Sassuolo,39,24.7,5,2.49,97.0,6,61,9,38,IT1
Udinese Calcio,43,26.3,31,2.16,93.0,17,39,-25,38,IT1
Torino FC,39,25.7,17,2.3,89.83,12,45,-3,38,IT1
Atalanta BC,44,26.8,15,1.78,78.45,13,45,-6,38,IT1
Bologna FC 1909,42,25.7,17,1.79,75.23,14,42,-12,38,IT1
Empoli FC ,38,24.1,16,1.96,74.6,11,46,-9,38,IT1
US Palermo,40,24.5,21,1.72,68.68,16,39,-27,38,IT1
Carpi FC 1909,41,25.9,18,1.27,52.05,18,38,-20,38,IT1
Chievo Verona,40,27.5,17,1.24,49.78,9,50,-2,38,IT1
Hellas Verona,42,25.9,20,1.14,47.73,20,28,-29,38,IT1
Frosinone Calcio,35,26.2,10,1.09,38.3,19,31,-41,38,IT1
Juventus FC,39,25.6,14,7.82,304.9,1,86,40,38,IT1
AC Milan,37,26.7,17,7.4,273.7,2,79,35,38,IT1
FC Internazionale,50,24.3,25,4.81,240.63,3,72,28,38,IT1
AS Roma,40,23.1,10,4.69,187.6,8,45,-3,38,IT1
ACF Fiorentina,48,25.0,13,2.33,111.83,16,42,-8,38,IT1
Parma FC,44,23.3,8,2.5,110.05,18,42,-17,38,IT1
Udinese Calcio,34,25.0,17,2.47,83.95,4,62,16,38,IT1
US Palermo,29,25.1,5,2.72,78.75,6,53,4,38,IT1
SS Lazio,45,25.8,12,1.71,77.05,13,44,-5,38,IT1
AC Siena,40,27.1,9,1.37,54.9,14,43,-11,38,IT1
UC Sampdoria,37,25.2,3,1.38,51.0,5,61,13,38,IT1
Chievo Verona,42,25.3,7,1.1,46.28,15,43,-17,38,IT1
Brescia Calcio,32,24.6,11,1.41,45.25,19,41,-17,38,IT1
US Lecce,33,23.3,13,1.36,44.9,11,44,-7,38,IT1
Atalanta BC,40,25.0,6,1.04,41.7,20,35,-11,38,IT1
FC Messina Peloro,45,24.6,10,0.726,32.65,7,48,-8,38,IT1
Bologna FC 1909,40,25.8,6,0.748,29.94,17,42,-3,38,IT1
Reggina Calcio,35,23.9,8,0.837,29.3,10,44,-9,38,IT1
AS Livorno,37,26.2,8,0.676,25.0,9,45,-11,38,IT1
Cagliari Calcio,31,26.2,6,0.771,23.9,12,44,-9,38,IT1
Juventus FC,35,27.0,12,9.4,329.0,1,87,48,38,IT1
AS Roma,43,25.9,24,6.44,276.78,2,70,23,38,IT1
SSC Napoli,34,26.7,23,7.71,262.18,5,63,16,38,IT1
Inter Milan,44,24.5,32,5.93,260.7,8,55,11,38,IT1
AC Milan,47,25.2,19,5.02,236.13,10,52,6,38,IT1
ACF Fiorentina,49,25.9,30,4.41,216.13,4,64,15,38,IT1
SS Lazio,36,26.3,27,4.65,167.55,3,69,33,38,IT1
UC Sampdoria,41,25.6,20,3.23,132.23,7,56,6,38,IT1
Genoa CFC,48,25.1,21,2.44,117.33,6,59,15,38,IT1
Udinese Calcio,50,23.9,36,2.14,107.18,16,41,-13,38,IT1
US Palermo,40,24.9,22,2.32,92.6,11,49,-2,38,IT1
US Sassuolo,41,26.3,8,2.22,91.03,12,49,-8,38,IT1
Atalanta BC,42,26.9,16,1.99,83.48,17,37,-19,38,IT1
Torino FC,45,26.0,21,1.84,82.58,9,54,3,38,IT1
Cagliari Calcio,36,24.5,14,2.08,74.7,18,34,-20,38,IT1
Parma FC,55,25.1,24,1.2,65.95,20,19,-42,38,IT1
Chievo Verona,40,27.6,23,1.55,62.05,14,43,-13,38,IT1
Empoli FC ,40,23.8,13,1.35,54.03,15,42,-6,38,IT1
Hellas Verona,38,26.4,23,1.1,41.8,13,46,-16,38,IT1
AC Cesena,37,25.9,10,0.923,34.15,19,24,-37,38,IT1
FC Internazionale,47,24.9,31,8.44,396.5,1,82,41,38,IT1
Juventus FC,44,25.6,14,6.21,273.1,7,55,-1,38,IT1
AC Milan,41,26.8,16,6.25,256.45,3,70,21,38,IT1
AS Roma,45,25.3,20,5.45,245.15,2,80,27,38,IT1
ACF Fiorentina,46,24.0,22,4.55,209.3,11,47,1,38,IT1
SSC Napoli,34,26.7,12,4.28,145.63,6,59,7,38,IT1
SS Lazio,62,24.8,23,2.28,141.1,12,46,-4,38,IT1
Genoa CFC,47,24.2,17,2.89,135.85,9,51,-4,38,IT1
Udinese Calcio,49,23.5,30,2.77,135.58,15,44,-5,38,IT1
US Palermo,41,24.2,16,2.93,119.95,5,65,12,38,IT1
UC Sampdoria,37,25.1,6,3.05,112.7,4,67,8,38,IT1
Parma FC,51,24.6,16,1.62,82.83,8,52,-5,38,IT1
Cagliari Calcio,35,24.3,7,2.05,71.8,16,44,-2,38,IT1
AS Bari,43,26.5,14,1.61,69.3,10,50,0,38,IT1
Calcio Catania,36,25.6,15,1.75,63.05,13,45,-1,38,IT1
Atalanta BC,39,26.1,13,1.59,62.05,18,35,-16,38,IT1
Bologna FC 1909,38,27.5,9,1.4,53.1,17,42,-13,38,IT1
AS Livorno,40,25.6,10,1.17,46.8,20,29,-34,38,IT1
AC Siena,40,25.3,18,1.15,45.83,19,31,-27,38,IT1
Chievo Verona,39,26.7,13,1.06,41.28,14,44,-5,38,IT1
Juventus FC,40,26.3,17,8.45,337.9,1,87,47,38,IT1
FC Internazionale,55,24.3,33,4.41,242.8,9,54,-2,38,IT1
AC Milan,42,25.5,22,5.68,238.53,3,72,28,38,IT1
SSC Napoli,41,26.2,18,5.79,237.25,2,78,37,38,IT1
ACF Fiorentina,42,25.2,25,5.09,213.65,4,70,28,38,IT1
AS Roma,37,24.6,22,4.69,173.4,6,62,15,38,IT1
SS Lazio,55,24.9,29,2.61,143.28,7,61,9,38,IT1
Udinese Calcio,48,23.3,23,2.52,121.0,5,66,14,38,IT1
Genoa CFC,46,26.5,23,2.14,98.5,17,38,-14,38,IT1
UC Sampdoria,37,25.3,17,2.32,85.93,14,42,-8,38,IT1
Parma FC,42,25.6,18,2.04,85.78,10,49,-1,38,IT1
US Palermo,52,25.2,29,1.56,80.95,18,32,-20,38,IT1
Bologna FC 1909,49,24.5,18,1.6,78.55,13,44,-6,38,IT1
Calcio Catania,38,25.4,22,2.01,76.48,8,56,4,38,IT1
Cagliari Calcio,34,24.0,12,2.25,76.38,11,47,-12,38,IT1
Atalanta BC,43,27.7,12,1.72,74.1,15,40,-17,38,IT1
Torino FC,38,25.8,18,1.62,61.6,16,39,-9,38,IT1
Chievo Verona,46,26.8,26,1.2,55.1,12,45,-15,38,IT1
Delfino Pescara 1936,52,24.5,15,0.919,47.8,20,22,-57,38,IT1
AC Siena,48,27.3,17,0.989,47.48,19,30,-21,38,IT1
